product_id,product_name,category,base_price,fragility_class,theft_attractiveness_score,christmas_popularity_multiplier
PROD000001,Wireless Noise-Cancelling Headphones,Technologie,199.99,Fragile,9,2.1
PROD000002,Smart LED TV 55 inches,Technologie,799.0,Fragile,8,2.4
PROD000003,Bluetooth Speaker Waterproof,Technologie,129.99,Durable,7,2.0
PROD000004,E-Reader (6 inch display),Divertissement et Culture,89.99,Fragile,6,1.8
PROD000005,Yoga Mat High-Traction,Maison et Vie quotidienne,24.99,Durable,3,1.2
PROD000006,Stainless Steel Chef Set,Maison et Vie quotidienne,149.99,Fragile,4,1.6
PROD000007,Designer Winter Coat,Mode et Bien-être,259.5,Standard,5,1.9
PROD000008,Running Shoes Pro,Mode et Bien-être,119.99,Durable,6,1.8
PROD000009,Cordless Vacuum Cleaner,Maison et Vie quotidienne,199.99,Fragile,6,2.0
PROD000010,Smartphone XYZ 128GB,Technologie,599.99,Fragile,9,2.8
PROD000011,4K Action Camera,Loisirs et Transport,299.99,Fragile,7,2.2
PROD000012,Bicycle Mountain Pro,Loisirs et Transport,540.0,Durable,5,1.7
PROD000013,Car Mount Dashcam,Loisirs et Transport,89.99,Durable,6,1.9
PROD000014,Espresso Machine,Maison et Vie quotidienne,299.0,Fragile,8,2.1
PROD000015,Non-Stick Cookware Set,Maison et Vie quotidienne,89.99,Standard,4,1.5
PROD000016,Gaming Keyboard RGB,Technologie,99.99,Durable,7,2.0
PROD000017,Scented Candle Gift Pack,Divertissement et Culture,19.99,Standard,2,1.3
PROD000018,Yoga Block and Strap Set,Loisirs et Transport,34.99,Durable,3,1.4
PROD000019,Smart Home Speaker,Technologie,89.99,Fragile,6,1.9
PROD000020,Electric Kettle 1.7L,Maison et Vie quotidienne,39.99,Durable,4,1.6
B1-PROD000001,Wireless Noise-Cancelling Headphones,Technologie,199.99,Durable,8,2.2
B1-PROD000002,Smart LED TV 55 inches,Technologie,899.99,Fragile,7,2.0
B1-PROD000003,Bluetooth Speaker Mini,Technologie,59.99,Standard,6,2.5
B1-PROD000004,Yoga Mat Deluxe,Mode et Bien-être,29.99,Standard,5,1.6
B1-PROD000005,Fitness Tracker Watch,Mode et Bien-être,149.99,Durable,7,2.1
B1-PROD000006,Silk Evening Dress,Mode et Bien-être,189.99,Fragile,3,1.4
B1-PROD000007,Leather Crossbody Bag,Mode et Bien-être,129.99,Fragile,6,1.8
B1-PROD000008,Ceramic Dinnerware Set (16pc),Maison et Vie quotidienne,89.99,Fragile,4,1.8
B1-PROD000009,Non-Stick Cookware Set,Maison et Vie quotidienne,119.99,Standard,4,1.5
B1-PROD000010,Smart Home Speaker,Technologie,99.99,Durable,7,2.0
